,month,cases_diff,deaths_diff
0,202001,1.0,0.0
1,202002,34.0,1.0
2,202003,136358.0,2467.0
3,202004,755944.0,42466.0
4,202005,682832.0,37944.0
5,202006,832822.0,21353.0
6,202007,1892243.0,25883.0
7,202008,1439926.0,28591.0
8,202009,1188041.0,22899.0
9,202010,1884985.0,23096.0
10,202011,4322489.0,37163.0
11,202012,6246856.0,76261.0
12,202101,5979479.0,92269.0
13,202102,2277694.0,68783.0
14,202103,1714475.0,36695.0
15,202104,1768685.0,23372.0
16,202105,883835.0,17759.0
17,202106,350813.0,8985.0
18,202107,1346409.0,7035.0
19,202108,4100216.0,21314.0
20,202109,4134056.0,62569.0
21,202110,2453795.0,48335.0
22,202111,2520811.0,34308.0
23,202112,5652077.0,42353.0
24,202201,19064963.0,55546.0
25,202202,4056408.0,60872.0
26,202203,1039642.0,30934.0
27,202204,1103540.0,12558.0
