,fips,month,cases_diff,deaths_diff
31189,25009,202003,783.0,13.0
31190,25009,202004,7889.0,435.0
31191,25009,202005,5552.0,477.0
31192,25009,202006,1863.0,179.0
31193,25009,202007,1144.0,73.0
31194,25009,202008,1631.0,62.0
31195,25009,202009,1168.0,51.0
31196,25009,202010,4288.0,66.0
31197,25009,202011,10516.0,99.0
31198,25009,202012,23594.0,243.0
31199,25009,202101,18934.0,271.0
31200,25009,202102,6429.0,194.0
31201,25009,202103,5514.0,132.0
31202,25009,202104,6165.0,54.0
31203,25009,202105,2100.0,40.0
31204,25009,202106,398.0,14.0
31205,25009,202107,847.0,8.0
31206,25009,202108,4048.0,20.0
31207,25009,202109,5732.0,37.0
31208,25009,202110,4580.0,45.0
31209,25009,202111,9126.0,81.0
31210,25009,202112,27685.0,128.0
31211,25009,202201,47973.0,242.0
31212,25009,202202,4435.0,158.0
31213,25009,202203,2110.0,-397.0
31214,25009,202204,5135.0,15.0
31293,25017,202003,1339.0,18.0
31294,25017,202004,12868.0,827.0
31295,25017,202005,7079.0,770.0
31296,25017,202006,2675.0,236.0
31297,25017,202007,1744.0,127.0
31298,25017,202008,1959.0,92.0
31299,25017,202009,-41.0,84.0
31300,25017,202010,4933.0,127.0
31301,25017,202011,13673.0,144.0
31302,25017,202012,29385.0,304.0
31303,25017,202101,26304.0,397.0
31304,25017,202102,9879.0,312.0
31305,25017,202103,10424.0,207.0
31306,25017,202104,10026.0,75.0
31307,25017,202105,2623.0,37.0
31308,25017,202106,516.0,21.0
31309,25017,202107,1800.0,16.0
31310,25017,202108,7220.0,20.0
31311,25017,202109,8250.0,57.0
31312,25017,202110,6955.0,54.0
31313,25017,202111,12120.0,55.0
31314,25017,202112,41754.0,149.0
31315,25017,202201,92050.0,314.0
31316,25017,202202,11418.0,219.0
31317,25017,202203,7753.0,-713.0
31318,25017,202204,15319.0,27.0
31345,25021,202003,737.0,13.0
31346,25021,202004,5158.0,486.0
31347,25021,202005,2183.0,322.0
31348,25021,202006,1087.0,102.0
31349,25021,202007,1070.0,61.0
31350,25021,202008,797.0,34.0
31351,25021,202009,-695.0,48.0
31352,25021,202010,1653.0,45.0
31353,25021,202011,4129.0,71.0
31354,25021,202012,11176.0,120.0
31355,25021,202101,13104.0,177.0
31356,25021,202102,5085.0,138.0
31357,25021,202103,4476.0,104.0
31358,25021,202104,3741.0,51.0
31359,25021,202105,1101.0,17.0
31360,25021,202106,228.0,15.0
31361,25021,202107,695.0,6.0
31362,25021,202108,2992.0,11.0
31363,25021,202109,3215.0,21.0
31364,25021,202110,2813.0,20.0
31365,25021,202111,4213.0,23.0
31366,25021,202112,17890.0,69.0
31367,25021,202201,37558.0,137.0
31368,25021,202202,4303.0,128.0
31369,25021,202203,2450.0,-345.0
31370,25021,202204,5535.0,16.0
31371,25023,202003,456.0,2.0
31372,25023,202004,4624.0,283.0
31373,25023,202005,2776.0,267.0
31374,25023,202006,825.0,113.0
31375,25023,202007,402.0,45.0
31376,25023,202008,539.0,32.0
31377,25023,202009,152.0,28.0
31378,25023,202010,1786.0,67.0
31379,25023,202011,3123.0,56.0
31380,25023,202012,9610.0,112.0
31381,25023,202101,11703.0,157.0
31382,25023,202102,4275.0,132.0
31383,25023,202103,3890.0,85.0
31384,25023,202104,3632.0,31.0
31385,25023,202105,1319.0,25.0
31386,25023,202106,184.0,11.0
31387,25023,202107,650.0,9.0
31388,25023,202108,3059.0,14.0
31389,25023,202109,3488.0,26.0
31390,25023,202110,2991.0,29.0
31391,25023,202111,5196.0,52.0
31392,25023,202112,16181.0,95.0
31393,25023,202201,30176.0,171.0
31394,25023,202202,3095.0,131.0
31395,25023,202203,1105.0,-303.0
31396,25023,202204,2521.0,7.0
31397,25025,202002,0.0,0.0
31398,25025,202003,1372.0,8.0
31399,25025,202004,11517.0,516.0
31400,25025,202005,5046.0,347.0
31401,25025,202006,1883.0,131.0
31402,25025,202007,1403.0,53.0
31403,25025,202008,2250.0,54.0
31404,25025,202009,1007.0,28.0
31405,25025,202010,4372.0,44.0
31406,25025,202011,8108.0,67.0
31407,25025,202012,17597.0,126.0
31408,25025,202101,17041.0,189.0
31409,25025,202102,6680.0,134.0
31410,25025,202103,6369.0,91.0
31411,25025,202104,6225.0,29.0
31412,25025,202105,1872.0,21.0
31413,25025,202106,403.0,10.0
31414,25025,202107,1315.0,9.0
31415,25025,202108,4652.0,10.0
31416,25025,202109,5211.0,23.0
31417,25025,202110,3414.0,30.0
31418,25025,202111,5385.0,21.0
31419,25025,202112,26581.0,59.0
31420,25025,202201,58763.0,156.0
31421,25025,202202,7812.0,130.0
31422,25025,202203,3898.0,-313.0
31423,25025,202204,9343.0,21.0
45046,33015,202003,136.0,1.0
45047,33015,202004,555.0,21.0
45048,33015,202005,614.0,53.0
45049,33015,202006,168.0,14.0
45050,33015,202007,150.0,6.0
45051,33015,202008,185.0,5.0
45052,33015,202009,227.0,3.0
45053,33015,202010,690.0,2.0
45054,33015,202011,2312.0,5.0
45055,33015,202012,5880.0,31.0
45056,33015,202101,5104.0,42.0
45057,33015,202102,2450.0,25.0
45058,33015,202103,2415.0,19.0
45059,33015,202104,2463.0,22.0
45060,33015,202105,901.0,13.0
45061,33015,202106,149.0,4.0
45062,33015,202107,274.0,4.0
45063,33015,202108,1617.0,8.0
45064,33015,202109,2620.0,11.0
45065,33015,202110,2130.0,14.0
45066,33015,202111,5411.0,34.0
45067,33015,202112,7968.0,68.0
45068,33015,202201,16804.0,63.0
45069,33015,202202,4378.0,35.0
45070,33015,202203,923.0,21.0
45071,33015,202204,2107.0,12.0
45072,33017,202003,27.0,0.0
45073,33017,202004,113.0,9.0
45074,33017,202005,128.0,4.0
45075,33017,202006,23.0,0.0
45076,33017,202007,33.0,0.0
45077,33017,202008,58.0,0.0
45078,33017,202009,179.0,0.0
45079,33017,202010,206.0,1.0
45080,33017,202011,843.0,1.0
45081,33017,202012,1878.0,16.0
45082,33017,202101,2152.0,30.0
45083,33017,202102,1407.0,13.0
45084,33017,202103,969.0,2.0
45085,33017,202104,1384.0,5.0
45086,33017,202105,503.0,13.0
45087,33017,202106,190.0,3.0
45088,33017,202107,99.0,3.0
45089,33017,202108,690.0,1.0
45090,33017,202109,1228.0,10.0
45091,33017,202110,1109.0,10.0
45092,33017,202111,2718.0,16.0
45093,33017,202112,3279.0,28.0
45094,33017,202201,6247.0,20.0
45095,33017,202202,2742.0,14.0
45096,33017,202203,788.0,5.0
45097,33017,202204,1132.0,2.0
