,fips,month,cases_diff,deaths_diff
65226,48085,202003,159.0,1.0
65227,48085,202004,564.0,19.0
65228,48085,202005,588.0,14.0
65229,48085,202006,1685.0,8.0
65230,48085,202007,3356.0,41.0
65231,48085,202008,4636.0,29.0
65232,48085,202009,2933.0,36.0
65233,48085,202010,4713.0,38.0
65234,48085,202011,7965.0,67.0
65235,48085,202012,21823.0,117.0
65236,48085,202101,24282.0,207.0
65237,48085,202102,10584.0,144.0
65238,48085,202103,3357.0,74.0
65239,48085,202104,3141.0,23.0
65240,48085,202105,1734.0,16.0
65241,48085,202106,1376.0,11.0
65242,48085,202107,3704.0,19.0
65243,48085,202108,12831.0,39.0
65244,48085,202109,14396.0,118.0
65245,48085,202110,5719.0,109.0
65246,48085,202111,3594.0,35.0
65247,48085,202112,7933.0,52.0
65248,48085,202201,50920.0,94.0
65249,48085,202202,11204.0,125.0
65250,48085,202203,6497.0,57.0
65251,48085,202204,4659.0,11.0
65575,48113,202003,629.0,13.0
65576,48113,202004,2900.0,91.0
65577,48113,202005,6703.0,125.0
65578,48113,202006,11104.0,144.0
65579,48113,202007,29961.0,300.0
65580,48113,202008,23277.0,274.0
65581,48113,202009,11924.0,186.0
65582,48113,202010,16142.0,134.0
65583,48113,202011,36156.0,272.0
65584,48113,202012,54520.0,468.0
65585,48113,202101,65199.0,812.0
65586,48113,202102,21887.0,587.0
65587,48113,202103,10858.0,458.0
65588,48113,202104,7168.0,112.0
65589,48113,202105,4780.0,102.0
65590,48113,202106,3207.0,44.0
65591,48113,202107,10420.0,52.0
65592,48113,202108,32031.0,216.0
65593,48113,202109,38602.0,485.0
65594,48113,202110,17167.0,481.0
65595,48113,202111,8534.0,244.0
65596,48113,202112,23229.0,165.0
65597,48113,202201,108012.0,275.0
65598,48113,202202,20868.0,424.0
65599,48113,202203,3744.0,245.0
65600,48113,202204,2535.0,53.0
65653,48119,202004,0.0,0.0
65654,48119,202005,0.0,0.0
65655,48119,202006,5.0,0.0
65656,48119,202007,8.0,0.0
65657,48119,202008,3.0,0.0
65658,48119,202009,11.0,0.0
65659,48119,202010,8.0,0.0
65660,48119,202011,14.0,2.0
65661,48119,202012,97.0,1.0
65662,48119,202101,106.0,4.0
65663,48119,202102,44.0,3.0
65664,48119,202103,13.0,1.0
65665,48119,202104,8.0,0.0
65666,48119,202105,5.0,1.0
65667,48119,202106,28.0,0.0
65668,48119,202107,18.0,2.0
65669,48119,202108,84.0,1.0
65670,48119,202109,118.0,4.0
65671,48119,202110,43.0,2.0
65672,48119,202111,27.0,1.0
65673,48119,202112,95.0,0.0
65674,48119,202201,951.0,0.0
65675,48119,202202,104.0,2.0
65676,48119,202203,18.0,1.0
65677,48119,202204,8.0,0.0
65678,48121,202003,205.0,4.0
65679,48121,202004,559.0,17.0
65680,48121,202005,608.0,10.0
65681,48121,202006,1472.0,6.0
65682,48121,202007,3958.0,34.0
65683,48121,202008,3322.0,60.0
