,fips,month,cases_diff,deaths_diff
5169,06037,202001,0.0,0.0
5170,06037,202002,0.0,0.0
5171,06037,202003,3010.0,54.0
5172,06037,202004,20171.0,1057.0
5173,06037,202005,31814.0,1251.0
5174,06037,202006,48533.0,1007.0
5175,06037,202007,84952.0,1252.0
5176,06037,202008,53287.0,1163.0
5177,06037,202009,28531.0,792.0
5178,06037,202010,37319.0,495.0
5179,06037,202011,93416.0,584.0
5180,06037,202012,369881.0,2690.0
5181,06037,202101,346431.0,6425.0
5182,06037,202102,75213.0,4665.0
5183,06037,202103,27658.0,1708.0
5184,06037,202104,13506.0,756.0
5185,06037,202105,10999.0,461.0
5186,06037,202106,6186.0,138.0
5187,06037,202107,50101.0,193.0
5188,06037,202108,107017.0,593.0
5189,06037,202109,51865.0,822.0
5190,06037,202110,33983.0,531.0
5191,06037,202111,33962.0,529.0
5192,06037,202112,169450.0,471.0
5193,06037,202201,962832.0,1326.0
5194,06037,202202,137146.0,1753.0
5195,06037,202203,36646.0,953.0
5196,06037,202204,38997.0,290.0
5454,06059,202001,0.0,0.0
5455,06059,202002,0.0,0.0
5456,06059,202003,501.0,7.0
5457,06059,202004,1919.0,38.0
5458,06059,202005,3933.0,102.0
5459,06059,202006,7489.0,193.0
5460,06059,202007,22353.0,278.0
5461,06059,202008,12342.0,362.0
5462,06059,202009,6701.0,288.0
5463,06059,202010,6597.0,215.0
5464,06059,202011,19005.0,94.0
5465,06059,202012,85355.0,298.0
5466,06059,202101,79782.0,1187.0
5467,06059,202102,15242.0,855.0
5468,06059,202103,5013.0,827.0
5469,06059,202104,3868.0,213.0
5470,06059,202105,1993.0,108.0
5471,06059,202106,1467.0,59.0
5472,06059,202107,8865.0,20.0
5473,06059,202108,22984.0,81.0
5474,06059,202109,13722.0,207.0
5475,06059,202110,7114.0,163.0
5476,06059,202111,8152.0,130.0
5477,06059,202112,24171.0,165.0
5478,06059,202201,194461.0,210.0
5479,06059,202202,28142.0,509.0
5480,06059,202203,6084.0,275.0
5481,06059,202204,6876.0,123.0
