,city,date,variable,value
0,boston,2020-01-01,Number of visits,97.93605149056151
1,boston,2020-02-01,Number of visits,102.06394850943848
2,boston,2020-03-01,Number of visits,71.1390990869497
3,boston,2020-04-01,Number of visits,44.310001068880574
4,boston,2020-05-01,Number of visits,48.64024471412812
5,boston,2020-06-01,Number of visits,65.09708404055868
6,boston,2020-07-01,Number of visits,77.56644712495222
7,boston,2020-08-01,Number of visits,76.87034769137011
8,boston,2020-09-01,Number of visits,70.41030538202118
9,boston,2020-10-01,Number of visits,71.4233016584834
10,boston,2020-11-01,Number of visits,64.2223540787144
11,boston,2020-12-01,Number of visits,65.13630083235877
12,boston,2021-01-01,Number of visits,65.40230568536171
13,boston,2021-02-01,Number of visits,67.36718223126675
14,boston,2021-03-01,Number of visits,81.24595130578643
15,boston,2021-04-01,Number of visits,81.79596688694193
16,boston,2021-05-01,Number of visits,84.07264183542209
17,boston,2021-06-01,Number of visits,91.57567141719468
18,boston,2021-07-01,Number of visits,94.95509135314171
19,boston,2021-08-01,Number of visits,93.11933322860335
20,boston,2021-09-01,Number of visits,101.08888842865487
21,boston,2021-10-01,Number of visits,106.93358869123199
22,boston,2021-11-01,Number of visits,93.80567971828313
23,boston,2021-12-01,Number of visits,94.3021200836446
24,seattle,2020-01-01,Number of visits,94.19036246425377
25,seattle,2020-02-01,Number of visits,105.80963753574622
26,seattle,2020-03-01,Number of visits,65.398324910684
27,seattle,2020-04-01,Number of visits,47.03819043337409
28,seattle,2020-05-01,Number of visits,48.90300190963212
29,seattle,2020-06-01,Number of visits,65.27078321334712
30,seattle,2020-07-01,Number of visits,74.81054692308352
31,seattle,2020-08-01,Number of visits,73.49938742388196
32,seattle,2020-09-01,Number of visits,68.77360850209693
33,seattle,2020-10-01,Number of visits,68.09536766410122
34,seattle,2020-11-01,Number of visits,59.30655136946266
35,seattle,2020-12-01,Number of visits,59.94815004701125
36,seattle,2021-01-01,Number of visits,59.79113286163984
37,seattle,2021-02-01,Number of visits,68.6613489111514
38,seattle,2021-03-01,Number of visits,74.40703979466062
39,seattle,2021-04-01,Number of visits,79.1482942471784
40,seattle,2021-05-01,Number of visits,74.61245362425717
41,seattle,2021-06-01,Number of visits,84.74539549871534
42,seattle,2021-07-01,Number of visits,93.33379255025746
43,seattle,2021-08-01,Number of visits,90.52373861740088
44,seattle,2021-09-01,Number of visits,95.49502715100918
45,seattle,2021-10-01,Number of visits,94.9538143038451
46,seattle,2021-11-01,Number of visits,86.02505451885695
47,seattle,2021-12-01,Number of visits,85.15925747908885
48,la,2020-01-01,Number of visits,97.12118539851363
49,la,2020-02-01,Number of visits,102.87881460148638
50,la,2020-03-01,Number of visits,72.28561591920368
51,la,2020-04-01,Number of visits,46.61725116758977
52,la,2020-05-01,Number of visits,50.69100835171848
53,la,2020-06-01,Number of visits,69.35161993611766
54,la,2020-07-01,Number of visits,73.11983251219645
55,la,2020-08-01,Number of visits,67.50500000622839
56,la,2020-09-01,Number of visits,64.01000054073293
57,la,2020-10-01,Number of visits,66.00397327577004
58,la,2020-11-01,Number of visits,61.96426159302376
59,la,2020-12-01,Number of visits,58.0395121620889
60,la,2021-01-01,Number of visits,57.312549569859065
