,date,type,mode,value
0,2020-01-01,pseg,weakcounterfac,-0.2569712940043338
1,2020-02-01,pseg,weakcounterfac,-0.6539112805244555
2,2020-03-01,pseg,weakcounterfac,-10.88628613147357
3,2020-04-01,pseg,weakcounterfac,-18.23522363827369
4,2020-05-01,pseg,weakcounterfac,-13.665662139333953
5,2020-06-01,pseg,weakcounterfac,-10.62002620872801
6,2020-07-01,pseg,weakcounterfac,-10.183356907524436
7,2020-08-01,pseg,weakcounterfac,-10.823025131568588
8,2020-09-01,pseg,weakcounterfac,-11.0687606989288
9,2020-10-01,pseg,weakcounterfac,-11.221433860681982
10,2020-11-01,pseg,weakcounterfac,-12.681602365433232
11,2020-12-01,pseg,weakcounterfac,-14.07924041478726
12,2021-01-01,pseg,weakcounterfac,-9.389311221570273
13,2021-02-01,pseg,weakcounterfac,-8.679679044679038
14,2021-03-01,pseg,weakcounterfac,-9.417489092858421
15,2021-04-01,pseg,weakcounterfac,-9.689347123742522
16,2021-05-01,pseg,weakcounterfac,-8.782621656490416
17,2021-06-01,pseg,weakcounterfac,-8.269436612578941
18,2021-07-01,pseg,weakcounterfac,-8.81594792985163
19,2021-08-01,pseg,weakcounterfac,-7.298660851272312
20,2021-09-01,pseg,weakcounterfac,-6.360213304238193
21,2021-10-01,pseg,weakcounterfac,-5.815109098309349
22,2021-11-01,pseg,weakcounterfac,-5.631845291314439
23,2021-12-01,pseg,weakcounterfac,-6.380463438549346
24,2020-01-01,pseg,counterfac,-0.22347274814322363
25,2020-02-01,pseg,counterfac,-0.8401016213614161
26,2020-03-01,pseg,counterfac,-11.822515154677927
27,2020-04-01,pseg,counterfac,-20.782981119685733
28,2020-05-01,pseg,counterfac,-15.20314356171382
29,2020-06-01,pseg,counterfac,-11.83479813335394
30,2020-07-01,pseg,counterfac,-11.316372959083742
31,2020-08-01,pseg,counterfac,-11.54768532271193
32,2020-09-01,pseg,counterfac,-11.61829472276317
33,2020-10-01,pseg,counterfac,-12.369648103529993
34,2020-11-01,pseg,counterfac,-13.54557343091606
35,2020-12-01,pseg,counterfac,-14.972923089919364
36,2021-01-01,pseg,counterfac,-10.561660603441421
37,2021-02-01,pseg,counterfac,-9.728049514228477
38,2021-03-01,pseg,counterfac,-10.340325005685424
39,2021-04-01,pseg,counterfac,-10.769657257149566
40,2021-05-01,pseg,counterfac,-9.683946284890114
41,2021-06-01,pseg,counterfac,-9.30498313249141
42,2021-07-01,pseg,counterfac,-9.65962354969961
43,2021-08-01,pseg,counterfac,-8.34585892098512
44,2021-09-01,pseg,counterfac,-7.642568949817322
45,2021-10-01,pseg,counterfac,-7.373707684350559
46,2021-11-01,pseg,counterfac,-6.941446478258306
47,2021-12-01,pseg,counterfac,-7.705095209075262
48,2020-01-01,pseg,actual,0.9374047173584376
49,2020-02-01,pseg,actual,-2.9392375784156766
50,2020-03-01,pseg,actual,-17.031522151499686
51,2020-04-01,pseg,actual,-34.830845756517334
52,2020-05-01,pseg,actual,-25.527621590901198
53,2020-06-01,pseg,actual,-20.26202793015207
54,2020-07-01,pseg,actual,-18.292180991803136
55,2020-08-01,pseg,actual,-18.013501318108
56,2020-09-01,pseg,actual,-17.611663979679246
57,2020-10-01,pseg,actual,-18.61432934455146
58,2020-11-01,pseg,actual,-21.222301439410426
59,2020-12-01,pseg,actual,-22.992623586526353
60,2021-01-01,pseg,actual,-19.143808908595236
61,2021-02-01,pseg,actual,-17.378590567808686
62,2021-03-01,pseg,actual,-17.745425101686276
63,2021-04-01,pseg,actual,-17.862079078898663
64,2021-05-01,pseg,actual,-16.660563415734238
65,2021-06-01,pseg,actual,-15.724113810078073
66,2021-07-01,pseg,actual,-15.044456777379827
67,2021-08-01,pseg,actual,-13.754685030595098
68,2021-09-01,pseg,actual,-12.348325492444879
69,2021-10-01,pseg,actual,-11.660707607848671
70,2021-11-01,pseg,actual,-12.580864882945784
71,2021-12-01,pseg,actual,-14.14304774278151
72,2020-01-01,useg,weakcounterfac,0.18012394114070746
73,2020-02-01,useg,weakcounterfac,0.08313380587848954
74,2020-03-01,useg,weakcounterfac,-2.795359509722111
75,2020-04-01,useg,weakcounterfac,-6.145768300068016
76,2020-05-01,useg,weakcounterfac,-4.334827789165315
77,2020-06-01,useg,weakcounterfac,-3.289023192035215
78,2020-07-01,useg,weakcounterfac,-3.0872570271913538
79,2020-08-01,useg,weakcounterfac,-2.908847865631495
80,2020-09-01,useg,weakcounterfac,-2.688542076856175
81,2020-10-01,useg,weakcounterfac,-2.6960775571815105
82,2020-11-01,useg,weakcounterfac,-3.3269701208875375
83,2020-12-01,useg,weakcounterfac,-4.080632056989096
84,2021-01-01,useg,weakcounterfac,-3.1724490107967487
85,2021-02-01,useg,weakcounterfac,-2.5337711639789724
86,2021-03-01,useg,weakcounterfac,-2.0965467380236205
87,2021-04-01,useg,weakcounterfac,-2.4542963765644714
88,2021-05-01,useg,weakcounterfac,-2.123806288694771
89,2021-06-01,useg,weakcounterfac,-1.8431484015015045
90,2021-07-01,useg,weakcounterfac,-2.127257825579235
91,2021-08-01,useg,weakcounterfac,-1.4366224743740899
92,2021-09-01,useg,weakcounterfac,-1.2962884760947138
93,2021-10-01,useg,weakcounterfac,-1.391067462182457
94,2021-11-01,useg,weakcounterfac,-0.9176794390236366
95,2021-12-01,useg,weakcounterfac,-1.0998468093154241
96,2020-01-01,useg,counterfac,0.1957058186590795
97,2020-02-01,useg,counterfac,-0.04273189191160645
98,2020-03-01,useg,counterfac,-3.2910838253952903
99,2020-04-01,useg,counterfac,-7.248222854856843
100,2020-05-01,useg,counterfac,-4.590163319300101
101,2020-06-01,useg,counterfac,-3.5770384203404357
102,2020-07-01,useg,counterfac,-3.4952204309090167
103,2020-08-01,useg,counterfac,-2.9178767080934946
104,2020-09-01,useg,counterfac,-2.5007876126952637
105,2020-10-01,useg,counterfac,-2.9926656229227473
106,2020-11-01,useg,counterfac,-3.5424517691933097
107,2020-12-01,useg,counterfac,-4.063551708048636
108,2021-01-01,useg,counterfac,-3.4318272129139498
109,2021-02-01,useg,counterfac,-3.0024319835435334
110,2021-03-01,useg,counterfac,-2.61182406498839
111,2021-04-01,useg,counterfac,-2.83935599183318
112,2021-05-01,useg,counterfac,-2.4009501812238354
113,2021-06-01,useg,counterfac,-2.1148734316510764
114,2021-07-01,useg,counterfac,-2.3809904194610754
115,2021-08-01,useg,counterfac,-1.9677748959568286
116,2021-09-01,useg,counterfac,-1.9676562312631183
117,2021-10-01,useg,counterfac,-2.009777861454878
118,2021-11-01,useg,counterfac,-1.6026435326055009
119,2021-12-01,useg,counterfac,-1.914972981117757
120,2020-01-01,useg,actual,1.1975346069382988
121,2020-02-01,useg,actual,-0.8950744490072113
122,2020-03-01,useg,actual,-6.1584213809712205
123,2020-04-01,useg,actual,-11.838561976038712
124,2020-05-01,useg,actual,-8.631637697522663
125,2020-06-01,useg,actual,-6.702122303457456
126,2020-07-01,useg,actual,-5.700534764634513
127,2020-08-01,useg,actual,-4.929862490944182
128,2020-09-01,useg,actual,-4.738079866427895
129,2020-10-01,useg,actual,-5.507114122121336
130,2020-11-01,useg,actual,-6.869840525982173
131,2020-12-01,useg,actual,-6.95949669213175
132,2021-01-01,useg,actual,-5.765262339031251
133,2021-02-01,useg,actual,-5.584310470340328
134,2021-03-01,useg,actual,-4.787235011592641
135,2021-04-01,useg,actual,-4.194007285222159
136,2021-05-01,useg,actual,-4.018367547125115
137,2021-06-01,useg,actual,-3.340787412427928
138,2021-07-01,useg,actual,-2.5802188163513224
139,2021-08-01,useg,actual,-3.187692458697963
140,2021-09-01,useg,actual,-2.9739996783284024
141,2021-10-01,useg,actual,-3.181477834980685
142,2021-11-01,useg,actual,-3.562629979237535
143,2021-12-01,useg,actual,-3.6863481515159067
