,city,date,value
0,boston,2020-01-01,-0.0021925924475015837
1,boston,2020-02-01,-0.013614554020807506
2,boston,2020-03-01,-0.039911550211277624
3,boston,2020-04-01,-0.04990322562107256
4,boston,2020-05-01,-0.042965219883921886
5,boston,2020-06-01,-0.04103149193233831
6,boston,2020-07-01,-0.04141705211963517
7,boston,2020-08-01,-0.03420201786874621
8,boston,2020-09-01,-0.033488446724959764
9,boston,2020-10-01,-0.03534151404950845
10,boston,2020-11-01,-0.034293483414698546
11,boston,2020-12-01,-0.03047215220336902
12,boston,2021-01-01,-0.03786286724048524
13,boston,2021-02-01,-0.04067920916534877
14,boston,2021-03-01,-0.04047254000294395
15,boston,2021-04-01,-0.041842477580194416
16,boston,2021-05-01,-0.044045461691840426
17,boston,2021-06-01,-0.04491077813295733
18,boston,2021-07-01,-0.040482629042271345
19,boston,2021-08-01,-0.04910249551055954
20,boston,2021-09-01,-0.04760052431020041
21,boston,2021-10-01,-0.04620696030963897
22,boston,2021-11-01,-0.04273906881618117
23,boston,2021-12-01,-0.03902042779952628
24,seattle,2020-01-01,0.0008646821777188431
25,seattle,2020-02-01,-0.012281598650650363
26,seattle,2020-03-01,-0.04371762176541948
27,seattle,2020-04-01,-0.055881672648586886
28,seattle,2020-05-01,-0.045589432707997854
29,seattle,2020-06-01,-0.04153516549246868
30,seattle,2020-07-01,-0.044894310815734736
31,seattle,2020-08-01,-0.042729214271541784
32,seattle,2020-09-01,-0.035923476242480525
33,seattle,2020-10-01,-0.035093253783273604
34,seattle,2020-11-01,-0.03770624344732972
35,seattle,2020-12-01,-0.04059504733723738
36,seattle,2021-01-01,-0.04300587557412701
37,seattle,2021-02-01,-0.04367881545102621
38,seattle,2021-03-01,-0.049950892853121195
39,seattle,2021-04-01,-0.04935751260036896
40,seattle,2021-05-01,-0.05461600413128522
41,seattle,2021-06-01,-0.05582859145844444
42,seattle,2021-07-01,-0.050139624069646366
43,seattle,2021-08-01,-0.04923577000631189
44,seattle,2021-09-01,-0.04602188353607317
45,seattle,2021-10-01,-0.0449712565106207
46,seattle,2021-11-01,-0.044339727511248546
47,seattle,2021-12-01,-0.04065322182087664
48,la,2020-01-01,-0.011689214459858039
49,la,2020-02-01,-0.011456583520620912
50,la,2020-03-01,-0.042510262014845146
51,la,2020-04-01,-0.08273073830288219
52,la,2020-05-01,-0.07332322079914513
53,la,2020-06-01,-0.06878205581478558
54,la,2020-07-01,-0.08052709162298609
55,la,2020-08-01,-0.07592590934554289
56,la,2020-09-01,-0.07409714266323468
57,la,2020-10-01,-0.06612614439435238
58,la,2020-11-01,-0.07031967693570185
59,la,2020-12-01,-0.07865152015830221
60,la,2021-01-01,-0.09170980581648605
61,la,2021-02-01,-0.08775566518149938
62,la,2021-03-01,-0.08637830231085987
63,la,2021-04-01,-0.08740997079240329
64,la,2021-05-01,-0.0882392793581743
65,la,2021-06-01,-0.08944562026172312
66,la,2021-07-01,-0.08202191672168047
67,la,2021-08-01,-0.0805479747520968
68,la,2021-09-01,-0.07819513349359661
69,la,2021-10-01,-0.06462845961832261
70,la,2021-11-01,-0.06493066549035544
71,la,2021-12-01,-0.058849956313154435
72,dallas,2020-01-01,-0.0070046416240167044
73,dallas,2020-02-01,-0.007545044433925775
74,dallas,2020-03-01,-0.02488450999393994
75,dallas,2020-04-01,-0.04062335204334519
76,dallas,2020-05-01,-0.030053796203588296
77,dallas,2020-06-01,-0.036987208599114495
78,dallas,2020-07-01,-0.0410727253442616
79,dallas,2020-08-01,-0.03276367951563563
80,dallas,2020-09-01,-0.03089824953632723
81,dallas,2020-10-01,-0.02876158437683163
82,dallas,2020-11-01,-0.030004890897632145
83,dallas,2020-12-01,-0.029775301233939285
84,dallas,2021-01-01,-0.03511299313545225
85,dallas,2021-02-01,-0.04624947797896054
86,dallas,2021-03-01,-0.0348205454810939
87,dallas,2021-04-01,-0.035621200674085425
88,dallas,2021-05-01,-0.037501971838399165
89,dallas,2021-06-01,-0.04196575751192383
90,dallas,2021-07-01,-0.035182808459203456
91,dallas,2021-08-01,-0.03734022108915797
92,dallas,2021-09-01,-0.03430818554915069
93,dallas,2021-10-01,-0.02379769915585653
94,dallas,2021-11-01,-0.026042106941969217
95,dallas,2021-12-01,-0.02035796297991836
